0,"671 Westchester Ave, Bronx, NY 10455, USA"
1,"635 Hollywood Ave, Bronx, NY 10465, USA"
2,"155-15-155-99 71st Ave, Flushing, NY 11367, USA"
3,"1880-1898 2nd Ave, New York, NY 10029, USA"
4,"2601-2615 Fulton St, Brooklyn, NY 11207, USA"
5,"20-30 Beekman Pl, New York, NY 10022, USA"
6,"1043-1047 E 57th St, Brooklyn, NY 11234, USA"
7,"153-1-153-99 130th St, Jamaica, NY 11430, USA"
8,"789 St Marks Ave, Brooklyn, NY 11213, USA"
9,"13-2-13-98 Redfern Ave, Far Rockaway, NY 11691, USA"
10,"5601-5699 Avenue H, Brooklyn, NY 11234, USA"
11,"1370 New York Ave, Brooklyn, NY 11226, USA"
12,"26-22 21st St, Long Island City, NY 11102, USA"
13,"835 E 152nd St, Bronx, NY 10455, USA"
14,"2188 Creston Ave, Bronx, NY 10453, USA"
15,"153 E 67th St, New York, NY 10065, USA"
16,"301-347 Beach 84th St, Far Rockaway, NY 11693, USA"
17,"200-226 Beach 81st St, Far Rockaway, NY 11693, USA"
18,"134-99 Atlantic Ave, Richmond Hill, NY 11418, USA"
19,"550 Fashion Ave, New York, NY 10018, USA"
20,"226 Sand Ln, Staten Island, NY 10305, USA"
21,"225 W 43rd St, New York, NY 10036, USA"
22,"1394 Oak Point Ave, Bronx, NY 10474, USA"
23,"231-7-231-11 148th Ave, Springfield Gardens, NY 11413, USA"
24,"2835-2837 W 37th St, Brooklyn, NY 11224, USA"
25,"31 W 23rd St, New York, NY 10010, USA"
26,"168-1-168-99 127th Ave, Jamaica, NY 11434, USA"
27,"41-57 Howard Ave, Brooklyn, NY 11221, USA"
28,"2054-2064 Nostrand Ave, Brooklyn, NY 11210, USA"
29,"301 E 156th St, Bronx, NY 10451, USA"
30,"23-48 19th St, Astoria, NY 11105, USA"
31,"2400-2448 Cruger Ave, Bronx, NY 10467, USA"
32,"3346-3350 Broadway, New York, NY 10031, USA"
33,"91-30 89th St, Jamaica, NY 11421, USA"
34,"71-05 Parsons Blvd, Flushing, NY 11365, USA"
35,"160 E 102nd St, New York, NY 10029, USA"
36,"799-809 Henderson Ave, Staten Island, NY 10310, USA"
37,"398-400 Bradford St, Brooklyn, NY 11207, USA"
38,"298 Classon Ave, Brooklyn, NY 11205, USA"
39,"1031 E 217th St, Bronx, NY 10469, USA"
40,"6 W 190th St, Bronx, NY 10468, USA"
41,"50-1-50-99 Vernon Blvd, Long Island City, NY 11101, USA"
42,"9021 Bayview Pl, Brooklyn, NY 11236, USA"
43,"2820 Snyder Ave, Brooklyn, NY 11226, USA"
44,"20-24 Avenue D, New York, NY 10009, USA"
45,"299-303 Rockaway Pkwy, Brooklyn, NY 11212, USA"
46,"1000 Sutter Ave, Brooklyn, NY 11208, USA"
47,"900 Fteley Ave, Bronx, NY 10473, USA"
48,"2420 Williamsbridge Rd, Bronx, NY 10469, USA"
49,"2001-2041 Webster Ave, Bronx, NY 10457, USA"
50,"71-3 Beach Channel Dr, Arverne, NY 11692, USA"
51,"148-1-148-99 Beech Ave, Flushing, NY 11355, USA"
52,"1065-1099 Carroll Pl, Bronx, NY 10456, USA"
53,"415 Lefferts Ave, Brooklyn, NY 11225, USA"
54,"4111 Laconia Ave, Bronx, NY 10466, USA"
55,"2654 Valentine Ave, Bronx, NY 10458, USA"
56,"427 Baltic St, Brooklyn, NY 11217, USA"
57,"1264 River Ave, Bronx, NY 10452, USA"
58,"2877 Barkley Ave, Bronx, NY 10465, USA"
59,"154 Lawrence Ave, Brooklyn, NY 11230, USA"
60,"72-29-72-99 70th Ave, Ridgewood, NY 11385, USA"
61,"1207 Tinton Ave, Bronx, NY 10456, USA"
62,"2575 Coney Island Ave, Brooklyn, NY 11223, USA"
63,"64-02 Catalpa Ave, Flushing, NY 11385, USA"
64,"373 Shepherd Ave, Brooklyn, NY 11208, USA"
65,"185-24 Fonda Ave, St. Albans, NY 11412, USA"
66,"120 E 119th St, New York, NY 10035, USA"
67,"961-977 Ave of the Americas, New York, NY 10018, USA"
68,"167-02 Baisley Blvd, Jamaica, NY 11434, USA"
69,"1240-1250 Morrison Ave, Bronx, NY 10472, USA"
70,"421 Thomas S Boyland St, Brooklyn, NY 11212, USA"
71,"1284-1300 Hylan Blvd, Staten Island, NY 10305, USA"
72,"2120 Ryer Ave, Bronx, NY 10457, USA"
73,"34-16 ⛉ Astoria Blvd S, Long Island City, NY 11103, USA"
74,"30 W 181st St, Bronx, NY 10453, USA"
75,"480 Knickerbocker Ave, Brooklyn, NY 11237, USA"
76,"2255-2257 Morris Ave, Bronx, NY 10453, USA"
77,"157-161 E 53rd St, Brooklyn, NY 11203, USA"
78,"2260 Washington Ave, Bronx, NY 10457, USA"
79,"92-08 222nd St, Queens Village, NY 11428, USA"
80,"5998 15th Ave, Brooklyn, NY 11219, USA"
81,"769-771 Essex St, Brooklyn, NY 11208, USA"
82,"621-625 Park Ave, Brooklyn, NY 11206, USA"
83,"184-15-184-17 Jamaica Ave, Jamaica, NY 11423, USA"
84,"8734 118th St, Richmond Hill, NY 11418, USA"
85,"219-223 Jamaica Ave, Brooklyn, NY 11207, USA"
86,"225-227 McKinley Ave, Brooklyn, NY 11208, USA"
87,"427 Bedford Ave, Brooklyn, NY 11211, USA"
88,"4366-4398 Bullard Ave, Bronx, NY 10466, USA"
89,"1383 Flatbush Ave, Brooklyn, NY 11210, USA"
90,"114-25-114-29 167th St, Jamaica, NY 11434, USA"
91,"212-1-212-11 104th Rd, Queens Village, NY 11429, USA"
92,"93-16 Roosevelt Ave, Flushing, NY 11372, USA"
93,"108 W 111th St, New York, NY 10026, USA"
94,"110-16-110-18 Sutphin Blvd, Jamaica, NY 11435, USA"
95,"78 Richmond Terrace, Staten Island, NY 10301, USA"
96,"3896 10th Ave, New York, NY 10034, USA"
97,"4661 Cortelyou Rd, Brooklyn, NY 11203, USA"
98,"2711-2727 White Plains Rd, Bronx, NY 10467, USA"
99,"468 E 52nd St, Brooklyn, NY 11203, USA"
100,"75-77 Broadway, Staten Island, NY 10310, USA"
101,"1932 2nd Ave, New York, NY 10029, USA"
102,"2105 Dean St, Brooklyn, NY 11233, USA"
103,"85 Main St, Briarwood, NY 11435, USA"
104,"32 W 35th St, New York, NY 10001, USA"
105,"25 Park St, Brooklyn, NY 11206, USA"
106,"183-185 Scholes St, Brooklyn, NY 11206, USA"
107,"2608-2638 Creston Ave, Bronx, NY 10468, USA"
